scanner,image,hits,misses,detection_hit_ratio,tp_labels,fp_labels,tp_detected,fp_detected,fn_missed,unlabeled_predicted,predicted_total
snyk,docker.io+anchore+test_images@sha256_a287a0ff98ac343aa710f4f4258d7198e240e9d416d5c7274663564202f832fb,14,37,0.27450980392156865,51,24,14,0,37,0,14
snyk,docker.io+anchore+test_images@sha256_b2b58a55c0b03c1626d2aaae2add9832208b02124dda7b7b41811e14f0fb272c,0,0,0.0,0,345,0,0,0,0,0
snyk,docker.io+anchore+test_images@sha256_b3534fc2e37943136d5b54e3a58b55d4ccd4363d926cf7aa5bf55a524cf8275b,0,50,0.0,50,391,0,0,50,0,0
snyk,docker.io+anchore+test_images@sha256_ba42ded8613fc643d407a050faf5ab48cfb405ad3ef2015bf6feeb5dff44738d,16,3,0.8421052631578947,19,19,16,10,3,4,20
snyk,docker.io+anchore+test_images@sha256_c27b02c6322180fd8a7a3097d2b430bfdf9ea52ecf136edf258458e82f2c6f21,24,262,0.08391608391608392,286,18,24,12,262,0,24
snyk,docker.io+anchore+test_images@sha256_c8d664b0e728d52f57eeb98ed1899c16d3b265f02ddfb41303d7a16c31e0b0f1,13,3,0.8125,16,14,13,4,3,490,506
snyk,docker.io+anchore+test_images@sha256_cf742eca189b02902a0a7926ac3fbb423e799937bf4358b0d2acc6cc36ab82aa,163,12,0.9314285714285714,175,78,163,8,12,1327,1494
snyk,docker.io+anchore+test_images@sha256_d1819e59e89e8ea90073460acb4ebb2ee18ccead9fa880dae91e8fc61b19ca1c,16,8,0.6666666666666666,24,14,16,11,8,15,31
snyk,docker.io+anchore+test_images@sha256_e25a9a175433c2bfe9c04e6482e6c5eca0491629144c78061763f7f604fdea80,4,23,0.14814814814814814,27,0,4,0,23,8,12
snyk,docker.io+anchore+test_images@sha256_f56164678054e5eb59ab838367373a49df723b324617b1ba6de775749d7f91d4,0,15,0.0,15,760,0,0,15,0,0
snyk,docker.io+anchore+test_images@sha256_f8e72da9f67caf90714926e7b21f0da93ca1e528b37a97dffe71e2ec38872a8b,51,6,0.8947368421052632,57,0,51,0,6,215,266
snyk,docker.io+anchore+test_images@sha256_fe242a3a63699425317fba0a749253bceb700fb3d63e7a0f6497f53a587e38c5,17,1,0.9444444444444444,18,10,17,0,1,33,50
snyk,docker.io+centos@sha256_3688aa867eb84332460e172b9250c9c198fdfd8d987605fd53f246f498c60bcf,643,9,0.9861963190184049,652,10,643,2,9,323,967
snyk,docker.io+debian@sha256_81e88820a7759038ffa61cff59dfcc12d3772c3a2e75b7cfe963c952da2ad264,0,75,0.0,75,1,0,0,75,0,0
snyk,docker.io+elastic+kibana@sha256_b9e3e52f61e0a347e38eabe80ba0859f859023bc0cc8836410320aa7eb5d3e02,7,1,0.875,8,10,7,0,1,166,173
snyk,docker.io+ghost@sha256_42137b9bd1faf4cdea5933279c48a912d010ef614551aeb0e44308600aa3e69f,44,20,0.6875,64,22,44,0,20,124,168
snyk,docker.io+jenkins+jenkins@sha256_6fd5699ab182b5d23d0e3936de6047edc30955a3a92e01c392d5a2fd583efac0,41,5,0.8913043478260869,46,22,41,20,5,177,232
snyk,docker.io+neo4j@sha256_fcfcbb026e0e538bf66f5fe5c4b2db3dd4931c3aae07f13a5a8c10e979596256,27,5,0.84375,32,7,27,6,5,97,130
snyk,docker.io+oraclelinux@sha256_a06327c0f1d18d753f2a60bb17864c84a850bb6dcbcf5946dd1a8123f6e75495,0,1,0.0,1,0,0,0,1,19,19
snyk,docker.io+python@sha256_5e96e03a493a54904aa8be573fc0414431afb4f47ac58fbffd03b2a725005364,152,25,0.8587570621468926,177,6,152,3,25,53,207
snyk,docker.io+rockylinux@sha256_72afc2e1a20c9ddf56a81c51148ebcbe927c0a879849efe813bee77d69df1dd8,77,135,0.3632075471698113,212,14,77,3,135,108,185
snyk,docker.io+sonatype+nexus3@sha256_e8fea6b4279f2b5b24b36170459cb7aa3d6afe999f9d3e3713541be28bae8ec4,231,53,0.8133802816901409,284,25,231,7,53,596,827
snyk,docker.io+ubuntu@sha256_09f035f46361d193ded647342903b413d57d05cc06acff8285f9dda9f2d269d5,1,0,1.0,1,0,1,0,0,16,17
snyk,docker.io+ubuntu@sha256_9d42d0e3e57bc067d10a75ee33bdd1a5298e95e5fc3c5d1fce98b455cb879249,13,0,1.0,13,0,13,0,0,54,67
snyk,registry.access.redhat.com+ubi8@sha256_68fecea0d255ee253acbf0c860eaebb7017ef5ef007c25bee9eeffd29ce85b29,111,10,0.9173553719008265,121,15,111,3,10,303,414
clair,docker.io+almalinux@sha256_cd49d7250ed7bb194d502d8a3e50bd775055ca275d1d9c2785aea72b890afe6a,0,219,0.0,219,14,0,0,219,0,0
clair,docker.io+amazonlinux@sha256_1301cc9f889f21dc45733df9e58034ac1c318202b4b0f0a08d88b3fdc03004de,0,0,0.0,0,0,0,0,0,0,0
clair,docker.io+anchore+test_images@sha256_01c78cee3fe398bf1f77566177770b07f1d2af01753c2434cb0735bd43a078b6,13,4,0.7647058823529411,17,11,13,0,4,1,14
clair,docker.io+anchore+test_images@sha256_0825acea611c7c5cc792bc7cc20de44d7413fd287dc5afc4aab9c1891d037b4f,0,16,0.0,16,25,0,1,16,0,1
clair,docker.io+anchore+test_images@sha256_08dbfad2d6af9afe47f7647b0b8f38fd29fc9e89306cfc39c9509981f9388b7f,0,7,0.0,7,2,0,0,7,0,0
